,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
52372,PG57187,Ein Ehzuchtbüchlein,"Oeser, Hermann",1849.0,1912.0,['de'],9,"{""Women's rights -- Germany -- History -- Sources"", 'Women -- Germany -- History -- Sources', 'Marriage -- Germany', 'Women -- Germany -- Social conditions -- Sources'}",
52379,PG57193,"Declaration du Roy, qui ordonne l'execution de l'Edit de Revocation de celuy de Nantes",France. Sovereign (1643-1715 : Louis XIV),,,['fr'],7,"{'Protestantism -- France -- History -- 17th century', 'Law -- France -- Early works to 1800', 'France -- Church history -- 17th century', 'Church and state -- France -- History -- 17th century', 'Dissenters, Religious -- Legal status, laws, etc. -- France -- Early works to 1800', 'France -- Politics and government -- 1643-1715', ""France. Edit de révocation de l'Edit de Nantes"", 'France -- History -- Louis XIV, 1643-1715'}",
52392,PG57204,"Voyages au front, de Dunkerque à Belfort","Wharton, Edith",1862.0,1937.0,['fr'],43,"{'World War, 1914-1918 -- Personal narratives', 'World War, 1914-1918 -- France'}",
52397,PG57209,Tähtien alla: Romaani,"Talvio, Maila",1871.0,1951.0,['fi'],1,{'Finnish fiction -- 20th century'},
52402,PG57213,Hazai rejtelmek: Regény (1. kötet),"Kuthy, Lajos",1813.0,1864.0,['hu'],25,{'Hungarian fiction'},
52403,PG57214,Hazai rejtelmek: Regény (2. kötet),"Kuthy, Lajos",1813.0,1864.0,['hu'],23,{'Hungarian fiction'},
52405,PG57216,Peli elämästä ja kuolemasta: Salapoliisikertomus,"Elvestad, Sven",1884.0,1934.0,['fi'],4,"{'Norwegian fiction -- Translations into Finnish', 'Detective and mystery stories', 'Krag, Asbjørn (Fictitious character) -- Fiction'}",
52408,PG57219,Sosialismin historia: Uudemman sosiaismin edeltäjät. 1. Platonista uudestikastajiin,"Kautsky, Karl",1854.0,1938.0,['fi'],5,"{'Socialism -- History', 'Socialism -- Philosophy -- History'}",
52410,PG57220,Kalavartion seikkailut,"London, Jack",1876.0,1916.0,['fi'],2,"{'Fishing villages -- Fiction', 'Short stories', 'Immigrants -- Fiction', 'Fishers -- Fiction', 'San Francisco Bay Area (Calif.) -- Fiction'}",
52412,PG57222,Avonturen aan gene zijde van den Evenaar,"Albrecht, K. von (Kurt)",,,['nl'],12,"{""Children's stories, German -- Translations into Dutch"", 'Adventure stories'}",
52415,PG57225,A.M.D.G.,"Pérez de Ayala, Ramón",1880.0,1962.0,['es'],25,{'Jesuits -- Fiction'},
52417,PG57227,平妖傳,"Feng, Menglong",1574.0,1646.0,['zh'],41,"{'Chinese fiction -- Ming dynasty, 1368-1644'}",
52423,PG57232,Pons tironum,"Appleton, R. B. (Reginald Bainbridge)",1886.0,1938.0,['la'],34,{'Latin language -- Readers'},
52424,PG57233,A kis királyok (1. rész): Regény,"Jókai, Mór",1825.0,1904.0,['hu'],8,{'Hungarian fiction -- 19th century'},
52425,PG57234,A kis királyok (2. rész): Regény,"Jókai, Mór",1825.0,1904.0,['hu'],7,{'Hungarian fiction -- 19th century'},
52429,PG57238,白兔記,"Ming, I",,,['zh'],17,{'Chinese drama'},
52432,PG57240,Relativitätstheorie und Erkenntnis Apriori,"Reichenbach, Hans",1891.0,1953.0,['de'],29,"{'Relativity (Physics)', 'Einstein, Albert, 1879-1955'}",
52437,PG57245,Een nest menschen,"Groeningen, August P. van",1866.0,1894.0,['nl'],5,"{'Dutch fiction', 'Short stories, Dutch'}",
52440,PG57248,初刻拍案驚奇,"Ling, Mengchu",1580.0,1644.0,['zh'],24,"{'Chinese fiction -- Ming dynasty, 1368-1644'}",
52449,PG57256,Targallyak,"Jókai, Mór",1825.0,1904.0,['hu'],6,{'Hungarian fiction -- 19th century'},
52450,PG57257,Taistelu ja voitto: Kuvaelmia Rooman keisariajalta,"Schultze, Viktor",1851.0,1937.0,['fi'],1,"{'German fiction -- Translations into Finnish', 'Church history -- Primitive and early church, ca. 30-600 -- Fiction'}",
52455,PG57261,El Doctor Centeno (novela completa),"Pérez Galdós, Benito",1843.0,1920.0,['es'],17,{'Spanish fiction -- 19th century'},
52456,PG57262,Diane de Lancy; Les pretendus de la meunière,Ponson du Terrail,1829.0,1871.0,['fr'],7,{'French fiction -- 19th century'},
52457,PG57263,El Doctor Centeno (Tomo I),"Pérez Galdós, Benito",1843.0,1920.0,['es'],13,{'Spanish fiction -- 19th century'},
52458,PG57264,El Doctor Centeno (Tomo II),"Pérez Galdós, Benito",1843.0,1920.0,['es'],9,{'Spanish fiction -- 19th century'},
